class,id,order,task_dif,time,score,cal,time_on_task,length_writing,time.,task_motive
1,9,s2c,simple,3,16.93,com_MLTU,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,0.72,com_DC/T,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,1.78,com_CN/T,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,0.8654,com_CN/C,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,0.58,ac_EFC/C,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,72.53,lex_Vocd,29,453,odd,1.5555555555555556
1,9,s2c,simple,3,1.83,lex_WRDFRQmc,29,453,odd,1.5555555555555556
1,9,s2c,complex,4,17.77,com_MLTU,33,471,even,3.7777777777777777
1,9,s2c,complex,4,0.91,com_DC/T,33,471,even,3.7777777777777777
1,9,s2c,complex,4,1.78,com_CN/T,33,471,even,3.7777777777777777
1,9,s2c,complex,4,1.1129,com_CN/C,33,471,even,3.7777777777777777
1,9,s2c,complex,4,0.74,ac_EFC/C,33,471,even,3.7777777777777777
1,9,s2c,complex,4,79.42,lex_Vocd,33,471,even,3.7777777777777777
1,9,s2c,complex,4,1.72,lex_WRDFRQmc,33,471,even,3.7777777777777777
1,10,s2c,simple,1,16.78,com_MLTU,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,0.54,com_DC/T,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,1.8721,com_CN/T,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,1.6842,com_CN/C,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,0.51,ac_EFC/C,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,65.73,lex_Vocd,28,323,odd,1.8888888888888888
1,10,s2c,simple,1,1.88,lex_WRDFRQmc,28,323,odd,1.8888888888888888
1,10,s2c,complex,2,17.04,com_MLTU,31,315,even,4.555555555555555
1,10,s2c,complex,2,0.59,com_DC/T,31,315,even,4.555555555555555
1,10,s2c,complex,2,1.72,com_CN/T,31,315,even,4.555555555555555
1,10,s2c,complex,2,1.7778,com_CN/C,31,315,even,4.555555555555555
1,10,s2c,complex,2,0.65,ac_EFC/C,31,315,even,4.555555555555555
1,10,s2c,complex,2,82.5,lex_Vocd,31,315,even,4.555555555555555
1,10,s2c,complex,2,1.92,lex_WRDFRQmc,31,315,even,4.555555555555555
1,10,s2c,simple,3,17.42,com_MLTU,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,0.68,com_DC/T,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,1.84,com_CN/T,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,0.8377,com_CN/C,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,0.57,ac_EFC/C,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,69.29,lex_Vocd,24,339,odd,1.8888888888888888
1,10,s2c,simple,3,1.83,lex_WRDFRQmc,24,339,odd,1.8888888888888888
1,10,s2c,complex,4,17.92,com_MLTU,38,340,even,3.555555555555556
1,10,s2c,complex,4,0.69,com_DC/T,38,340,even,3.555555555555556
1,10,s2c,complex,4,1.95,com_CN/T,38,340,even,3.555555555555556
1,10,s2c,complex,4,1.1825,com_CN/C,38,340,even,3.555555555555556
1,10,s2c,complex,4,0.81,ac_EFC/C,38,340,even,3.555555555555556
1,10,s2c,complex,4,68.24,lex_Vocd,38,340,even,3.555555555555556
1,10,s2c,complex,4,1.82,lex_WRDFRQmc,38,340,even,3.555555555555556
1,11,s2c,simple,1,14.71,com_MLTU,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,0.58,com_DC/T,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,1.9174,com_CN/T,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,0.6774,com_CN/C,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,0.53,ac_EFC/C,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,72.83,lex_Vocd,33,409,odd,2.3333333333333335
1,11,s2c,simple,1,1.89,lex_WRDFRQmc,33,409,odd,2.3333333333333335
1,11,s2c,complex,2,15.83,com_MLTU,39,315,even,3.888888888888889
1,11,s2c,complex,2,0.53,com_DC/T,39,315,even,3.888888888888889
1,11,s2c,complex,2,1.83,com_CN/T,39,315,even,3.888888888888889
1,11,s2c,complex,2,1.6667,com_CN/C,39,315,even,3.888888888888889
1,11,s2c,complex,2,0.55,ac_EFC/C,39,315,even,3.888888888888889
1,11,s2c,complex,2,63.38,lex_Vocd,39,315,even,3.888888888888889
1,11,s2c,complex,2,1.96,lex_WRDFRQmc,39,315,even,3.888888888888889
1,11,s2c,simple,3,18.61,com_MLTU,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,0.63,com_DC/T,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,1.87,com_CN/T,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,1.0792,com_CN/C,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,0.54,ac_EFC/C,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,74.21,lex_Vocd,29,430,odd,1.4444444444444444
1,11,s2c,simple,3,1.74,lex_WRDFRQmc,29,430,odd,1.4444444444444444
1,11,s2c,complex,4,18.58,com_MLTU,32,437,even,3.6666666666666665
1,11,s2c,complex,4,0.64,com_DC/T,32,437,even,3.6666666666666665
1,11,s2c,complex,4,1.97,com_CN/T,32,437,even,3.6666666666666665
1,11,s2c,complex,4,1.0211,com_CN/C,32,437,even,3.6666666666666665
1,11,s2c,complex,4,0.74,ac_EFC/C,32,437,even,3.6666666666666665
1,11,s2c,complex,4,66.18,lex_Vocd,32,437,even,3.6666666666666665
1,11,s2c,complex,4,1.73,lex_WRDFRQmc,32,437,even,3.6666666666666665
1,12,s2c,simple,1,13.68,com_MLTU,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,0.91,com_DC/T,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,1.5882,com_CN/T,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,1,com_CN/C,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,0.48,ac_EFC/C,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,76.72,lex_Vocd,28,321,odd,2.6666666666666665
1,12,s2c,simple,1,1.91,lex_WRDFRQmc,28,321,odd,2.6666666666666665
1,12,s2c,complex,2,14.39,com_MLTU,34,395,even,4.111111111111111
1,12,s2c,complex,2,0.64,com_DC/T,34,395,even,4.111111111111111
1,12,s2c,complex,2,1.96,com_CN/T,34,395,even,4.111111111111111
1,12,s2c,complex,2,0.8667,com_CN/C,34,395,even,4.111111111111111
1,12,s2c,complex,2,0.62,ac_EFC/C,34,395,even,4.111111111111111
1,12,s2c,complex,2,69.38,lex_Vocd,34,395,even,4.111111111111111
1,12,s2c,complex,2,1.57,lex_WRDFRQmc,34,395,even,4.111111111111111
1,12,s2c,simple,3,17.83,com_MLTU,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,0.84,com_DC/T,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,1.85,com_CN/T,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,1.0481,com_CN/C,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,0.67,ac_EFC/C,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,67.97,lex_Vocd,31,438,odd,1.5555555555555556
1,12,s2c,simple,3,1.81,lex_WRDFRQmc,31,438,odd,1.5555555555555556
1,12,s2c,complex,4,17.26,com_MLTU,36,415,even,3.6666666666666665
1,12,s2c,complex,4,0.68,com_DC/T,36,415,even,3.6666666666666665
1,12,s2c,complex,4,1.69,com_CN/T,36,415,even,3.6666666666666665
1,12,s2c,complex,4,1.0308,com_CN/C,36,415,even,3.6666666666666665
1,12,s2c,complex,4,0.53,ac_EFC/C,36,415,even,3.6666666666666665
1,12,s2c,complex,4,72.11,lex_Vocd,36,415,even,3.6666666666666665
1,12,s2c,complex,4,1.85,lex_WRDFRQmc,36,415,even,3.6666666666666665
1,13,s2c,simple,1,15.58,com_MLTU,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,0.84,com_DC/T,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,2.6154,com_CN/T,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,0.871,com_CN/C,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,0.53,ac_EFC/C,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,65.73,lex_Vocd,33,343,odd,2.2222222222222223
1,13,s2c,simple,1,1.92,lex_WRDFRQmc,33,343,odd,2.2222222222222223
1,13,s2c,complex,2,16.76,com_MLTU,37,305,even,4.888888888888889
1,13,s2c,complex,2,0.84,com_DC/T,37,305,even,4.888888888888889
1,13,s2c,complex,2,1.91,com_CN/T,37,305,even,4.888888888888889
1,13,s2c,complex,2,1.303,com_CN/C,37,305,even,4.888888888888889
1,13,s2c,complex,2,0.57,ac_EFC/C,37,305,even,4.888888888888889
