stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
984241,OrangeGrove,C,Male,Hispanic,No,1,1337,no,Notapproach
984241,OrangeGrove,C,Male,Hispanic,No,2,1432,no,Notapproach
984518,OrangeGrove,C,Female,Hispanic,No,0,1390,no,Approaches
984518,OrangeGrove,C,Female,Hispanic,No,1,1565,no,Approaches
984682,OrangeGrove,C,Female,Hispanic,No,1,1621,no,Meets
984686,OrangeGrove,C,Female,Hispanic,No,0,1375,no,Approaches
984686,OrangeGrove,C,Female,Hispanic,No,1,1518,no,Approaches
984954,OrangeGrove,C,Female,Hispanic,No,0,1247,no,Notapproach
986984,Goodman,T,Male,Hispanic,No,0,1375,no,Approaches
986984,Goodman,T,Male,Hispanic,No,1,1446,no,Notapproach
990282,OrangeGrove,C,Male,Hispanic,No,0,1421,no,Approaches
990282,OrangeGrove,C,Male,Hispanic,No,1,1467,no,Approaches
990282,OrangeGrove,C,Male,Hispanic,No,2,1611,no,Approaches
990384,OrangeGrove,C,Female,Hispanic,No,1,1643,no,Meets
