stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
930479,carm,T,Male,Hispanic,secondyear,No,2,No,1736,Masters
930487,caro,T,Male,Hispanic,LEP,Yes,0,Yes,1150,Notapproach
930492,caro,T,Female,Hispanic,firstyear,No,0,No,1217,Notapproach
930493,caro,T,Female,Hispanic,LEP,No,0,No,1266,Notapproach
930493,caro,T,Female,Hispanic,LEP,No,1,No,1480,Approaches
930493,caro,T,Female,Hispanic,LEP,No,2,No,1547,Approaches
930498,bus,C,Male,Hispanic,NotLEP,No,0,No,1419,Approaches
930498,bus,C,Male,Hispanic,NotLEP,No,1,No,1434,Approaches
930498,bus,C,Male,Hispanic,NotLEP,No,2,No,1532,Approaches
930518,caro,T,Female,Hispanic,NotLEP,No,0,No,1555,Masters
930518,caro,T,Female,Hispanic,NotLEP,No,1,No,1495,Approaches
930518,caro,T,Female,Hispanic,NotLEP,No,2,No,1787,Masters
930523,jon,C,Female,Hispanic,secondyear,No,0,No,1468,Meets
930523,jon,C,Female,Hispanic,secondyear,No,1,No,1562,Meets
930531,caro,T,Male,Hispanic,NotLEP,No,0,No,1752,Masters
930531,caro,T,Male,Hispanic,NotLEP,No,1,No,1562,Meets
930531,caro,T,Male,Hispanic,NotLEP,No,2,No,1599,Meets
930537,caro,T,Male,Hispanic,NotLEP,No,0,No,1616,Masters
930537,caro,T,Male,Hispanic,NotLEP,No,1,No,1562,Meets
930537,caro,T,Male,Hispanic,NotLEP,No,2,No,1642,Meets
930538,caro,T,Female,Hispanic,LEP,No,0,Yes,1367,Approaches
930538,caro,T,Female,Hispanic,LEP,No,1,No,1370,Notapproach
930540,caro,T,Male,Hispanic,LEP,No,0,No,1180,Notapproach
930540,caro,T,Male,Hispanic,LEP,No,1,No,1277,Notapproach
930548,caro,T,Female,Hispanic,firstyear,No,0,No,1345,Approaches
930552,caro,T,Female,Hispanic,NotLEP,No,0,No,1251,Notapproach
930552,caro,T,Female,Hispanic,NotLEP,No,1,No,1356,Notapproach
930552,caro,T,Female,Hispanic,NotLEP,No,2,No,1437,Notapproach
930557,caro,T,Male,Hispanic,secondyear,No,0,No,1387,Approaches
930557,caro,T,Male,Hispanic,secondyear,No,1,No,1550,Meets
930557,caro,T,Male,Hispanic,secondyear,No,2,No,1503,Approaches
930564,jon,C,Male,Hispanic,secondyear,No,2,No,1582,Meets
